"28","TAM","31/03/2016","28","TAMAULIPAS","1.349","2.537.671,99","3","23.070,36","42","91.465,66","1","155.546,40","2.560.742,35","1.539.632,05","986.134,66","34.884,64","28.865,20","5.275,88","166.26","40.534","83.853","1.377.728,39","986.134,66","17.562,41","25.181","84.687","218","4.477","7.909","112.188,52",,
"29","TLX","31/03/2016","29","TLAXCALA","242","201.414,09","1","191,20","1","58,00","1","87,71","201.605,29","156.725,30","41.192,10","3.682,34","3.376,71","141,86","89.414","26.199","27.244","145.383,95","41.192,10","2.523,97","12.86","43.028","86","4.409","6.87","11.657,18",,
"30","VER","31/03/2016","30","VERACRUZ DE IGNACIO DE LA LLAVE","3.518","2.748.543,22","78","103.998,98","131","96.493,29","5","19.143,07","2.852.542,20","2.573.817,29","204.825,22","68.131,89","33.803,13","2.864,83","553.44","67.695","312.62","2.423.516,76","204.825,22","34.427,95","127.11","360.59","593","14.941","21.042","105.677,41",,
"31","YUC","31/03/2016","31","YUCATAN","711","2.188.010,34","1","1.224,53","26","120.078,53",,,"2.189.234,87","552.465,42","1.584.054,18","37.505,25","9.355,66","21.351,43","80.318","76.97","44.247","540.098,41","1.584.054,18","8.633,68","12.272","110.99","114","5.363","19.424","75.765,64",,
"32","ZAC","31/03/2016","32","ZACATECAS","743","3.523.048,45","14","63.999,14","12","138.693,36","1","30.623,64","3.587.047,59","1.155.014,71","2.367.333,23","60.055,48","29.514,34","19.241,60","233.48","84.994","130.29","1.073.953,83","2.367.333,23","21.843,23","23.863","118.79","35","1.414","2318","12.065,21",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
